"","scores_adabag","scores_svm","scores_rf"
"385",1,1,1
"386",0.5,0.5,0.5
"387",0.5,0.5,0.5
"388",0.5,0.5,0.5
"389",1,1,0.5
"390",1,1,1
"391",0.5,0.5,0.5
"392",0.5,0.5,0.5
"393",0.5,0.5,0.5
"394",0.5,0.5,0.5
"395",1,1,1
"396",0.5,0.5,0.5
"397",0.5,0.5,0.5
"398",0.5,0.5,0.5
"399",0.5,0.5,0.5
"400",1,1,1
"401",0.5,0.5,0.5
"402",0.5,0.5,0.5
"403",0.5,1,1
"404",0,0.5,0
"405",1,1,1
"406",0.5,0.5,0.5
"407",0.5,1,1
"408",0.5,0.5,0.5
"409",0.5,0.5,0.5
"410",1,1,1
"411",1,1,1
"412",1,1,1
"413",0.5,0.5,0.5
"414",0.5,0.5,1
"415",0.5,0.5,0.5
"416",1,1,1
"417",0.5,0.5,0.5
"418",0.5,0.5,0.5
"419",0.5,0.5,0.5
"420",1,1,1
"421",0.5,0.5,0.5
"422",0.5,0.5,0.5
"423",0.5,1,0.5
"424",0.5,0.5,0.5
"425",1,1,1
"426",0.5,1,1
"427",0.5,0,0.5
"428",0.5,0.5,0.5
"429",1,1,1
"430",0.5,1,1
"431",0.5,0.5,0.5
"432",0.5,0.5,0.5
"433",0.5,0.5,0.5
"434",1,1,1
"435",0.5,0.5,0.5
"436",0.5,0.5,0.5
"437",1,0.5,0.5
"438",0.5,0.5,0.5
"439",1,1,1
"440",1,1,1
"441",0.5,0.5,0.5
"442",0.5,0.5,0.5
"443",0.5,0.5,1
"444",1,0.5,0.5
"445",0.5,0.5,0.5
"446",1,0.5,1
"447",0.5,0.5,0.5
"448",1,0.5,1
"449",0.5,0.5,0.5
"450",0.5,0.5,0.5
"451",1,1,1
"452",0.5,0.5,0.5
"453",0.5,0.5,0.5
"454",1,1,1
"455",0.5,1,1
"456",0.5,0.5,0.5
"457",0,0,0.5
"458",0.5,0.5,0.5
"459",0.5,0.5,0.5
"460",0.5,0.5,0.5
"461",1,1,1
"462",0.5,0.5,0.5
"463",1,1,1
"464",1,1,1
"465",0.5,0.5,0.5
"466",0,0,0.5
"467",1,1,1
"468",0.5,0.5,0.5
"469",0.5,0.5,0.5
"470",0.5,0.5,0.5
"471",0.5,0.5,0.5
"472",0.5,0.5,0.5
"473",0,0.5,0.5
"474",1,1,1
"475",0.5,1,1
"476",0.5,0.5,0.5
"477",0.5,0.5,0.5
"478",1,1,1
"479",0.5,0.5,0.5
"480",0.5,0.5,0.5
"481",1,1,1
"482",0,0.5,0.5
"483",1,1,1
"484",0.5,0.5,0.5
"485",0.5,0.5,0
"486",1,1,1
"487",0.5,0.5,0.5
"488",0.5,0.5,0.5
"489",0.5,0.5,0.5
"490",0.5,0.5,0.5
"491",1,1,1
"492",0.5,0.5,0.5
"493",1,1,1
"494",0.5,0.5,0.5
"495",0.5,0.5,0.5
"496",0.5,0.5,0.5
"497",0.5,0.5,0.5
"498",0.5,0.5,0.5
"499",1,0.5,1
"500",0.5,0.5,0.5
"501",0.5,0.5,0.5
"502",1,1,1
"503",0.5,0.5,0.5
"504",0.5,0.5,0.5
"505",1,1,1
"506",0.5,1,1
"507",1,1,1
"508",0.5,0.5,0.5
"509",1,1,1
"510",1,1,1
"511",0.5,0.5,1
"512",1,1,1
"513",0.5,0.5,0.5
"514",0.5,0,0
"515",0,0.5,0
"516",0.5,0.5,0.5
"517",0.5,0.5,0.5
"518",0.5,0.5,0.5
"519",1,1,1
"520",0.5,0.5,0.5
"521",0.5,0.5,0.5
"522",0.5,0.5,0.5
"523",1,1,1
"524",1,1,1
"525",1,1,1
"526",0.5,0.5,0.5
"527",0.5,0.5,0.5
"528",0.5,0.5,0.5
"529",0.5,0.5,0.5
"530",0.5,0.5,0.5
"531",0.5,0.5,0.5
"532",0.5,0.5,0.5
"533",1,1,1
"534",0,0.5,0.5
"535",0.5,0.5,0.5
"536",1,1,1
"537",0.5,1,1
"538",1,1,1
"539",1,1,1
"540",1,1,1
"541",0.5,0.5,0.5
"542",0.5,0.5,0.5
"543",0.5,0,0.5
"544",0.5,0.5,0.5
"545",1,1,1
"546",0.5,0.5,0.5
"547",0.5,0.5,0.5
"548",0.5,0.5,0.5
"549",1,1,1
"550",0.5,0.5,0.5
