"","scores_adabag","scores_svm","scores_rf"
"707",0.5,0.5,0.5
"708",0.5,0.5,0.5
"709",0.5,0.5,0.5
"710",0.5,0.5,0.5
"711",0.5,0.5,0.5
"712",1,1,1
"713",0.5,0.5,0.5
"714",0.5,0.5,0.5
"715",0.5,0.5,0.5
"716",0.5,0.5,0.5
"717",0,0,0
"718",0.5,0.5,0.5
"719",1,1,1
"720",0.5,0.5,0.5
"721",0.5,0.5,0.5
"722",0.5,0.5,0.5
"723",0.5,0.5,0.5
"724",1,1,1
"725",0.5,0.5,0.5
"726",0.5,0.5,0.5
"727",0.5,0.5,0.5
"728",0.5,0.5,0.5
"729",0.5,1,1
"730",1,1,1
"731",0.5,1,0.5
"732",1,1,1
"733",1,1,1
"734",1,1,1
"735",1,0.5,1
"736",0.5,0.5,0.5
"737",1,0.5,1
"738",0.5,0.5,0.5
"739",0,0.5,0.5
"740",0.5,0.5,0.5
"741",0.5,0.5,0.5
"742",0.5,0.5,0.5
"743",0.5,0.5,0.5
"744",0.5,1,1
"745",0.5,0.5,0.5
"746",0.5,0.5,0.5
"747",0.5,0.5,0.5
"748",0.5,0.5,0.5
"749",0.5,0.5,0.5
"750",0.5,0.5,0.5
"751",1,0.5,1
"752",0.5,0.5,0.5
"753",0.5,0.5,0.5
"754",0.5,1,1
"755",0.5,0.5,0.5
"756",0.5,0.5,0.5
"757",0.5,0.5,0.5
"758",0.5,1,1
"759",0.5,0.5,0.5
"760",0.5,1,0.5
"761",0.5,0.5,0.5
"762",0.5,0.5,0.5
"763",0.5,0.5,0.5
"764",0.5,0.5,0.5
"765",0.5,0.5,0.5
"766",1,1,1
"767",1,1,1
"768",0,0.5,0
"769",1,1,1
"770",0.5,0.5,0.5
"771",0.5,0.5,0.5
"772",0.5,0.5,1
"773",1,1,1
"774",1,1,1
"775",1,1,1
"776",0.5,0.5,0.5
"777",0.5,0.5,0.5
"778",1,1,1
"779",0.5,0.5,0.5
"780",0.5,0.5,0.5
"781",0.5,0.5,0.5
"782",0.5,0.5,0.5
"783",1,0.5,1
"784",1,1,1
"785",1,0.5,1
"786",1,1,1
"787",0.5,0.5,0.5
"788",0.5,0.5,0.5
"789",1,1,1
"790",0.5,0.5,0.5
"791",1,1,1
"792",0.5,0.5,0.5
"793",1,1,1
"794",0.5,1,1
"795",1,0.5,1
"796",1,1,1
"797",0.5,0.5,0.5
"798",0.5,1,1
"799",0.5,0.5,0.5
"800",0.5,0.5,0.5
"801",0.5,0.5,0.5
"802",1,0.5,1
"803",1,1,1
"804",1,1,1
"805",0.5,0.5,0.5
"806",1,1,1
"807",1,1,1
"808",0.5,0.5,0.5
"809",0.5,1,1
"810",0.5,0.5,0.5
"811",0.5,1,1
"812",0.5,0.5,0.5
"813",0.5,0.5,0.5
"814",1,1,1
"815",0.5,0.5,0.5
"816",0.5,0.5,0.5
"817",0.5,0.5,0.5
"818",0,0.5,0.5
"819",1,1,1
"820",0.5,0.5,0.5
"821",0.5,0.5,0.5
"822",0.5,0.5,0.5
"823",0.5,0.5,0.5
"824",1,0.5,1
"825",0.5,0.5,0.5
"826",0.5,0.5,0.5
"827",1,1,1
"828",0.5,0.5,0.5
"829",0.5,0.5,0.5
"830",0.5,0.5,0.5
"831",0.5,1,1
"832",0,0.5,0
"833",1,1,1
"834",0.5,0.5,0.5
"835",0.5,0.5,0.5
"836",1,1,1
"837",0.5,0.5,0.5
"838",0,0,0.5
"839",1,1,1
"840",0.5,0.5,0.5
"841",0.5,1,1
"842",0.5,0.5,0.5
"843",1,1,1
"844",0.5,1,1
"845",1,1,1
"846",0.5,0.5,0.5
"847",0,0.5,0.5
"848",0.5,0.5,0.5
"849",1,1,1
"850",1,0.5,1
"851",1,1,1
"852",0.5,1,1
"853",0,0.5,0.5
"854",0,0.5,0
"855",1,1,1
"856",0.5,0.5,0.5
"857",0.5,0.5,0.5
"858",0.5,0.5,0.5
"859",0.5,0.5,0.5
"860",0.5,0.5,0.5
"861",0.5,0.5,0.5
"862",1,1,1
"863",0.5,1,1
"864",0.5,0.5,0.5
"865",0.5,0,0.5
"866",0.5,0.5,0.5
"867",0.5,0.5,0.5
"868",0,0.5,0.5
"869",0.5,0.5,0.5
"870",0.5,0.5,0.5
"871",0.5,0.5,0.5
"872",1,1,1
"873",0.5,0.5,0.5
"874",0.5,0.5,0.5
"875",0.5,0.5,0.5
"876",0.5,0.5,0.5
"877",0.5,1,1
"878",0.5,0.5,0.5
"879",0.5,0.5,0.5
"880",0.5,0.5,1
"881",1,1,1
"882",0.5,1,0.5
"883",0.5,0.5,0.5
"884",0.5,0.5,0.5
"885",1,1,1
"886",0.5,0.5,0.5
"887",1,1,1
"888",1,1,0.5
"889",0.5,0.5,0.5
"890",0.5,0,0.5
"891",0.5,0.5,0.5
"892",0.5,1,1
"893",0.5,0.5,0.5
"894",0.5,0.5,0.5
"895",1,1,1
"896",0.5,0.5,0.5
"897",0.5,0.5,0.5
"898",1,1,1
"899",0.5,0.5,0.5
"900",0,0.5,0.5
"901",1,1,1
"902",1,1,1
"903",0.5,0.5,0.5
"904",0.5,0.5,0.5
"905",1,1,1
"906",0.5,0.5,0.5
"907",0.5,0.5,0.5
"908",1,1,1
"909",0.5,0.5,0.5
"910",0.5,0.5,0.5
"911",0.5,1,1
"912",0.5,0.5,0.5
"913",1,1,1
"914",0.5,0.5,0.5
"915",0.5,0.5,0.5
"916",1,0.5,1
"917",0.5,0.5,0.5
"918",0.5,0.5,0.5
"919",0.5,0.5,0.5
"920",1,0.5,0.5
"921",0.5,0.5,0.5
"922",0.5,0.5,0.5
"923",0.5,0.5,0.5
"924",0.5,1,1
"925",0.5,1,1
"926",0.5,0.5,0.5
"927",0.5,0,0.5
"928",0.5,0.5,0.5
"929",0.5,0.5,0.5
"930",0.5,0.5,0.5
"931",1,1,1
"932",0.5,0.5,0.5
"933",0.5,0.5,0
"934",1,1,1
"935",0.5,1,1
"936",1,1,1
"937",0.5,0.5,0.5
"938",1,1,1
"939",0.5,0.5,0.5
"940",0.5,0.5,0.5
"941",0.5,1,1
"942",0.5,0.5,0.5
"943",0.5,0.5,0.5
"944",0,0,0.5
"945",1,1,1
"946",1,1,1
"947",1,1,1
"948",1,1,1
"949",1,1,1
"950",0.5,0.5,0.5
"951",0.5,0.5,0.5
"952",0.5,0.5,0.5
"953",0.5,0.5,0.5
"954",0.5,0.5,0.5
"955",0.5,0.5,0.5
"956",0.5,0.5,0.5
"957",0.5,0.5,0.5
"958",1,1,1
"959",1,1,1
"960",1,0.5,1
"961",0.5,0.5,0.5
"962",0.5,1,1
"963",0.5,0.5,0.5
"964",0.5,0.5,0.5
"965",0.5,0.5,0.5
"966",1,1,1
"967",0.5,0.5,0.5
"968",1,1,1
"969",0.5,1,1
