"","scores_adabag","scores_svm","scores_rf"
"414",1,1,1
"415",0.5,1,1
"416",0.5,0.5,0.5
"417",1,0.5,1
"418",1,1,1
"419",1,1,1
"420",0.5,0.5,0.5
"421",1,1,1
"422",1,1,1
"423",0.5,0.5,0.5
"424",1,1,1
"425",1,1,1
"426",0.5,0.5,0.5
"427",0.5,0.5,0.5
"428",1,0.5,1
"429",0.5,1,1
"430",0.5,1,1
"431",1,1,1
"432",0.5,1,1
"433",0.5,0.5,0.5
"434",0.5,0,0.5
"435",1,1,1
"436",0.5,0.5,0.5
"437",1,1,1
"438",1,1,1
"439",1,1,1
"440",1,1,1
"441",0.5,0.5,0.5
"442",1,1,1
"443",0.5,1,1
"444",0.5,0.5,0.5
"445",1,1,1
"446",0.5,0.5,0.5
"447",0.5,0.5,0.5
"448",1,0.5,1
"449",1,1,1
"450",1,1,1
"451",0.5,1,1
"452",1,1,1
"453",0.5,0.5,0.5
"454",0.5,0.5,1
"455",1,1,1
"456",0.5,1,1
"457",1,1,1
"458",1,1,1
"459",1,1,1
"460",0.5,0,0.5
"461",1,1,1
"462",1,0.5,1
"463",0.5,1,1
"464",1,1,1
"465",0.5,0.5,0.5
"466",0.5,0.5,0.5
"467",0,0.5,0
"468",1,1,1
"469",0.5,0.5,0.5
"470",0.5,0.5,0.5
"471",0.5,0.5,0.5
"472",1,1,1
"473",0.5,0.5,0.5
"474",0.5,0.5,0.5
"475",1,1,1
"476",1,0.5,0.5
"477",1,1,1
"478",0.5,0.5,0.5
"479",0.5,0.5,1
"480",0.5,0.5,0.5
"481",0.5,0.5,0.5
"482",0.5,0.5,0.5
"483",1,1,1
"484",0.5,0.5,0.5
"485",0.5,0.5,0.5
"486",1,1,1
"487",0.5,0,0
"488",1,1,1
"489",0.5,0.5,0.5
"490",0.5,0.5,0.5
"491",1,1,1
"492",1,1,1
"493",0.5,0.5,0.5
"494",1,1,1
"495",0,0.5,0
"496",1,1,1
"497",1,1,1
"498",0.5,0.5,0.5
"499",0.5,1,1
"500",0.5,0.5,0.5
"501",1,1,1
"502",1,1,1
"503",0.5,1,1
"504",1,1,1
"505",1,1,1
"506",0.5,1,1
"507",1,1,1
"508",0.5,0.5,0.5
"509",0.5,1,1
"510",0.5,0.5,0.5
"511",0.5,1,1
"512",0.5,1,1
"513",0.5,0,0
"514",1,1,1
"515",0.5,0.5,0.5
"516",1,1,0.5
"517",1,1,1
"518",0,0.5,0.5
"519",0.5,1,1
"520",1,1,1
"521",0,0.5,0.5
"522",1,0.5,1
"523",0.5,0.5,0.5
"524",1,1,1
"525",0.5,0.5,0.5
"526",0.5,0.5,0.5
"527",0.5,0.5,0.5
"528",0.5,0.5,1
"529",0.5,0.5,0.5
"530",1,0.5,1
"531",0.5,0.5,0.5
"532",0.5,0.5,0.5
"533",1,0.5,1
"534",0.5,0.5,0.5
"535",0.5,0.5,0.5
"536",1,1,1
"537",0.5,0.5,0.5
"538",0.5,0.5,0.5
"539",0.5,0.5,1
"540",1,1,1
"541",1,1,1
"542",1,1,1
"543",1,1,1
"544",0.5,0.5,0.5
"545",1,1,1
"546",1,1,1
"547",1,1,1
"548",0.5,0.5,0.5
"549",0.5,0.5,0.5
"550",0.5,1,1
"551",0.5,0.5,0.5
"552",0.5,0.5,0.5
"553",0.5,0.5,0.5
"554",1,0.5,1
"555",0.5,0.5,0.5
"556",0.5,0.5,0.5
"557",0,0.5,0.5
"558",0.5,0,0.5
"559",1,1,0.5
"560",0.5,0.5,0.5
"561",1,1,1
"562",0.5,1,1
"563",0,0.5,0.5
"564",0.5,0.5,0
"565",0.5,0.5,0.5
"566",0,0.5,0
"567",0.5,1,1
"568",0.5,0.5,0.5
"569",1,1,1
"570",0.5,0.5,0.5
"571",1,1,1
"572",0.5,0.5,0.5
"573",0.5,1,1
"574",1,1,1
"575",1,1,1
"576",1,1,1
"577",0.5,0.5,0.5
"578",0.5,0.5,0.5
"579",0.5,0.5,0.5
"580",1,1,1
"581",0.5,0.5,0.5
"582",0.5,1,1
"583",1,1,1
"584",1,1,1
"585",1,1,1
"586",0,0.5,0.5
"587",0.5,0.5,0.5
"588",1,1,1
"589",0.5,0.5,0.5
"590",1,1,1
"591",1,1,1
"592",0.5,0.5,0.5
